date,value
2020-01-01,102.48357076505616
2020-01-02,99.99927982521669
2020-01-03,104.61820726989556
2020-01-04,109.68120489250649
2020-01-05,101.5772813018688
2020-01-06,102.25364304234674
2020-01-07,111.98955988029095
2020-01-08,108.59134651083068
2020-01-09,103.05763115878216
2020-01-10,108.7574577998135
2020-01-11,104.35474967324582
2020-01-12,104.95663202607969
2020-01-13,109.09357066623055
2020-01-14,98.89968729817846
2020-01-15,100.40653844927964
2020-01-16,106.7663455821304
2020-01-17,105.04085688995929
2020-01-18,112.18306252052042
2020-01-19,106.55716945619322
2020-01-20,104.49901103626816
2020-01-21,119.32897496893578
2020-01-22,111.28826246612229
2020-01-23,113.1467238017289
2020-01-24,106.05218851867178
2020-01-25,110.795221147037
2020-01-26,114.38683287178594
2020-01-27,108.36580992152939
2020-01-28,116.26096424648932
2020-01-29,111.61385498933467
2020-01-30,113.36584585322247
2020-01-31,111.99562849897733
2020-02-01,124.4179444303835
2020-02-02,115.2140438945697
2020-02-03,110.09065128870932
2020-02-04,119.56249561002213
2020-02-05,109.38927134522626
2020-02-06,116.55501748135792
2020-02-07,105.70346087953044
2020-02-08,108.8263776959634
2020-02-09,116.39204770542915
2020-02-10,119.01606666111647
2020-02-11,116.07281466070987
2020-02-12,114.50697241737268
2020-02-13,113.42675397283323
2020-02-14,107.36541703392595
2020-02-15,110.96419274933776
2020-02-16,112.04623128934249
2020-02-17,119.40271764743606
2020-02-18,115.58564515286551
2020-02-19,104.78670904699375
2020-02-20,114.94178201137571
2020-02-21,111.10172753480549
2020-02-22,109.33589589613305
2020-02-23,115.46114431851277
2020-02-24,117.23023780938188
2020-02-25,116.3956956411765
2020-02-26,107.20022010835753
2020-02-27,109.50161599265476
2020-02-28,112.351137774906
2020-02-29,115.21688833433174
2020-03-01,107.58626735073257
2020-03-02,108.69689143485463
2020-03-03,103.73806914239891
2020-03-04,102.93621233590721
2020-03-05,112.63174551330019
2020-03-06,115.00797074536983
2020-03-07,107.53155532904994
2020-03-08,112.58266505535289
2020-03-09,109.05648927626122
2020-03-10,103.7172603622005
2020-03-11,108.45692512562867
2020-03-12,114.06101802845606
2020-03-13,105.92761750199926
2020-03-14,113.68208590007885
2020-03-15,92.52960796717869
2020-03-16,109.52574871705728
2020-03-17,105.65885136422811
2020-03-18,103.556423023734
2020-03-19,105.35950195802889
2020-03-20,94.83435823018979
2020-03-21,103.56842527014254
2020-03-22,106.3707540425848
2020-03-23,111.91757443482064
2020-03-24,101.90478739423688
2020-03-25,100.44737172157798
2020-03-26,102.0008980032793
2020-03-27,109.13308301476843
2020-03-28,106.27309350332573
2020-03-29,102.08093560345206
2020-03-30,107.4237879142589
2020-03-31,105.49797540695091
2020-04-01,110.03840434612711
2020-04-02,101.89491713837508
2020-04-03,104.00416797111943
2020-04-04,103.94633338514129
2020-04-05,98.88052627412495
2020-04-06,107.9964190825769
2020-04-07,108.16488623241631
2020-04-08,107.25455890374484
2020-04-09,106.4504711041198
2020-04-10,100.96537671006014
2020-04-11,106.38154403844601
2020-04-12,107.23669785407591
2020-04-13,105.42652336181862
2020-04-14,109.14037905786144
2020-04-15,112.49627923018477
2020-04-16,120.45549620130839
2020-04-17,112.4642738700906
2020-04-18,113.4631329962495
2020-04-19,112.40318042843137
2020-04-20,103.79642620730064
2020-04-21,113.8861983266125
2020-04-22,114.96074977384589
2020-04-23,127.62768446887209
