date,value
2023-01-01,100.10694039953643
2023-01-02,100.29960195530623
2023-01-03,100.47431860985878
2023-01-04,102.56903681969794
2023-01-05,102.70539342409074
2023-01-06,104.07523694124538
2023-01-07,104.71520310397392
2023-01-08,105.0103820572243
2023-01-09,104.94546361433574
2023-01-10,105.87083053622884
2023-01-11,107.28205682135928
2023-01-12,106.86887979365444
2023-01-13,107.56921091954682
2023-01-14,108.00345999361987
2023-01-15,107.39146536876724
2023-01-16,108.28642380598845
2023-01-17,109.27932640008169
2023-01-18,109.69445985693191
2023-01-19,110.86741512297013
2023-01-20,109.64410226995423
2023-01-21,110.34748722330085
2023-01-22,109.69486184404578
2023-01-23,110.02974927607607
2023-01-24,110.01304376284772
2023-01-25,109.66073780391862
2023-01-26,110.00909761139991
2023-01-27,109.89556763464728
2023-01-28,109.43957415308873
2023-01-29,110.52176032163138
2023-01-30,109.16517445203581
2023-01-31,108.35475737022222
2023-02-01,108.46071361972966
2023-02-02,108.67032613623945
2023-02-03,107.7974936793285
2023-02-04,108.1855489167949
2023-02-05,108.26720248229
2023-02-06,107.75519663762894
2023-02-07,106.97372888432905
2023-02-08,108.16569368560909
2023-02-09,107.21262406403042
2023-02-10,107.38036545737737
2023-02-11,107.48765846625899
2023-02-12,106.81015693286203
2023-02-13,106.55139164885607
2023-02-14,106.86128439959133
2023-02-15,107.04087746774773
2023-02-16,106.5875562387762
2023-02-17,106.70347245154048
2023-02-18,107.50398157426925
2023-02-19,107.34509630805168
2023-02-20,106.97193349852583
2023-02-21,107.13256631305234
2023-02-22,107.41597254996316
2023-02-23,109.14259166690783
2023-02-24,108.96383656125562
2023-02-25,109.74464158214039
2023-02-26,109.77024035044911
2023-02-27,111.59471594124697
2023-02-28,110.4474027407449
2023-03-01,111.45223331374818
2023-03-02,113.0070851826574
2023-03-03,113.2977377748512
2023-03-04,113.37837820918642
2023-03-05,114.84050849605673
2023-03-06,114.62568452797993
2023-03-07,114.75342165503058
2023-03-08,116.01272433813692
2023-03-09,117.13454617142386
2023-03-10,117.05240088466188
2023-03-11,118.98205655300568
2023-03-12,118.22710214433683
2023-03-13,121.2536931452991
2023-03-14,121.17280436095508
2023-03-15,121.08993770297573
2023-03-16,122.25461761921316
2023-03-17,122.66214763599879
2023-03-18,122.80959630058996
2023-03-19,123.34417245427986
2023-03-20,123.94164109084585
2023-03-21,124.69089910166883
2023-03-22,124.88223416929571
2023-03-23,125.37507614782078
2023-03-24,125.07738729102152
2023-03-25,126.47051183068757
2023-03-26,126.70737845440924
2023-03-27,126.85818432646296
2023-03-28,125.90317898054712
2023-03-29,126.11097770669328
2023-03-30,126.033390869387
2023-03-31,126.79006943479045
2023-04-01,125.87256928852928
2023-04-02,126.85534190995186
2023-04-03,125.92389811241243
2023-04-04,126.46815556410182
2023-04-05,127.16917253923982
2023-04-06,126.58560279366249
2023-04-07,125.7014348884596
2023-04-08,125.50315878211173
2023-04-09,125.2199699236468
2023-04-10,124.73532042544021
2023-04-11,124.49847107289844
2023-04-12,125.03089587168353
2023-04-13,123.83571256852723
2023-04-14,124.46414800396848
2023-04-15,123.88264042603588
2023-04-16,124.38219146788956
2023-04-17,124.58658678336718
2023-04-18,123.86906921196754
2023-04-19,123.34792456748788
2023-04-20,123.85160363513278
2023-04-21,124.41110454677586
2023-04-22,124.25270916464146
2023-04-23,124.28598484673836
2023-04-24,123.17751552996913
2023-04-25,123.13933052562658
2023-04-26,123.9520415361757
2023-04-27,124.30527744014984
2023-04-28,123.8525931975967
2023-04-29,125.35552632280016
2023-04-30,124.36324460971284
2023-05-01,125.3809380475596
2023-05-02,125.82873691934928
2023-05-03,126.57626476673485
2023-05-04,127.7393034422069
2023-05-05,126.90309191060663
2023-05-06,128.76917681352307
2023-05-07,128.52584621748403
2023-05-08,129.69745176608157
2023-05-09,129.6158250603961
2023-05-10,130.68669040583336
2023-05-11,131.4336336445671
2023-05-12,131.80587510933327
2023-05-13,133.25341411890744
2023-05-14,132.87032279867498
2023-05-15,134.26741448004142
2023-05-16,134.6537813343194
2023-05-17,135.65955914858904
2023-05-18,136.04817036459764
2023-05-19,137.1550671151381
2023-05-20,137.85229203434952
2023-05-21,137.71171805503374
2023-05-22,138.0537655169238
2023-05-23,139.37797693482776
2023-05-24,139.74976950607413
2023-05-25,140.2766357050826
2023-05-26,141.16573992231662
2023-05-27,141.62463638512418
2023-05-28,141.7736329240405
2023-05-29,142.51681012360513
2023-05-30,141.645173418887
2023-05-31,142.70212063477308
2023-06-01,142.73159473192908
2023-06-02,143.5022384886431
2023-06-03,142.148695525828
2023-06-04,143.23575264346746
2023-06-05,143.46093808030267
2023-06-06,143.21004290266038
2023-06-07,142.36367400860047
2023-06-08,142.85456877455096
2023-06-09,143.9354025720627
2023-06-10,143.12795930475426
2023-06-11,143.08069363105216
2023-06-12,143.46643451006264
2023-06-13,142.85368253779578
2023-06-14,141.82275471009163
2023-06-15,141.63214267356688
2023-06-16,141.4405476207214
2023-06-17,141.3568653387616
2023-06-18,141.51801647628653
2023-06-19,139.8528117364965
2023-06-20,141.1620111529902
2023-06-21,140.94601519910648
2023-06-22,140.00485060535019
2023-06-23,139.7064724547755
2023-06-24,140.24795831751788
2023-06-25,140.78379120486753
2023-06-26,140.43857652688152
2023-06-27,140.5801399994835
2023-06-28,140.55380153473553
2023-06-29,140.01956553524624
2023-06-30,139.27576468763363
2023-07-01,139.9286640783105
2023-07-02,140.68499568264673
2023-07-03,140.2554827383936
2023-07-04,140.69161841224008
2023-07-05,141.80528984110555
2023-07-06,141.2595802142273
2023-07-07,142.30406444520432
2023-07-08,142.88082808963998
2023-07-09,142.98703862199662
2023-07-10,143.61468656349632
2023-07-11,144.70935957188948
2023-07-12,144.67793397935097
